Series Name,Sector,Sub-Sector (1),Sub-Sector (2),Province,Year,Source,Latitude,Longitude,Pro code,Indicator,Indicator Value,Indicator Unit
Rice Production,Agriculture,Production,Rice,Kampong Cham,2020.0,MAFF,11.594763,105.272988,3.0,Area Planted,135910,Ha
Rice Production,Agriculture,Production,Rice,Kandal,2020.0,MAFF,11.292682,104.563756,8.0,Area Planted,89459,Ha
Rice Production,Agriculture,Production,Rice,Phnom Penh,2020.0,MAFF,11.343424,104.545573,12.0,Area Planted,7136,Ha
Rice Production,Agriculture,Production,Rice,Prey Veng,2020.0,MAFF,11.285718,105.192062,14.0,Area Planted,391439,Ha
Rice Production,Agriculture,Production,Rice,Svay Rieng,2020.0,MAFF,11.045571,105.481724,20.0,Area Planted,190075,Ha
Rice Production,Agriculture,Production,Rice,Takeo,2020.0,MAFF,10.592675,104.470102,21.0,Area Planted,311406,Ha
Rice Production,Agriculture,Production,Rice,Tboung Khmum,2020.0,MAFF,11.535148,105.465966,25.0,Area Planted,88300,Ha
Rice Production,Agriculture,Production,Rice,Banteay Meanchey,2020.0,MAFF,13.352042,102.580516,1.0,Area Planted,323588,Ha
Rice Production,Agriculture,Production,Rice,Battambang,2020.0,MAFF,13.052422,103.115569,2.0,Area Planted,391274,Ha
Rice Production,Agriculture,Production,Rice,Kampong Chhnang,2020.0,MAFF,12.150884,104.395771,4.0,Area Planted,169403,Ha
Rice Production,Agriculture,Production,Rice,Kampong Thom,2020.0,MAFF,12.424516,104.525584,6.0,Area Planted,290348,Ha
Rice Production,Agriculture,Production,Rice,Pursat,2020.0,MAFF,12.325198,103.300548,15.0,Area Planted,172254,Ha
Rice Production,Agriculture,Production,Rice,Siemreap,2020.0,MAFF,13.225198,103.524891,17.0,Area Planted,213289,Ha
Rice Production,Agriculture,Production,Rice,Oddar Meanchey,2020.0,MAFF,14.112478,103.304147,22.0,Area Planted,95925,Ha
Rice Production,Agriculture,Production,Rice,Pailin,2020.0,MAFF,12.512244,102.363501,24.0,Area Planted,6949,Ha
Rice Production,Agriculture,Production,Rice,Kampot,2020.0,MAFF,10.361022,104.105131,7.0,Area Planted,150189,Ha
Rice Production,Agriculture,Production,Rice,Koh Kong,2020.0,MAFF,11.37035,102.584901,9.0,Area Planted,10179,Ha
Rice Production,Agriculture,Production,Rice,Preah Sihanouk,2020.0,MAFF,10.380311,103.300548,18.0,Area Planted,10839,Ha
Rice Production,Agriculture,Production,Rice,Kep,2020.0,MAFF,10.284217,104.181075,23.0,Area Planted,3563,Ha
Rice Production,Agriculture,Production,Rice,Kampong Speu,2020.0,MAFF,11.272917,104.311385,5.0,Area Planted,121448,Ha
Rice Production,Agriculture,Production,Rice,Kratie,2020.0,MAFF,12.284795,106.010996,10.0,Area Planted,54572,Ha
Rice Production,Agriculture,Production,Rice,Mondul Kiri,2020.0,MAFF,12.275092,107.104308,11.0,Area Planted,24986,Ha
Rice Production,Agriculture,Production,Rice,Preah Vihear,2020.0,MAFF,13.484428,104.583579,13.0,Area Planted,92232,Ha
Rice Production,Agriculture,Production,Rice,Ratanak Kiri,2020.0,MAFF,13.443648,106.590872,16.0,Area Planted,32199,Ha
Rice Production,Agriculture,Production,Rice,Stung Treng,2020.0,MAFF,13.312245,105.580995,19.0,Area Planted,27169,Ha
Rice Production,Agriculture,Production,Rice,Kampong Cham,2021.0,MAFF,11.594763,105.272988,3.0,Area Planted,147991,Ha
Rice Production,Agriculture,Production,Rice,Kandal,2021.0,MAFF,11.292682,104.563756,8.0,Area Planted,94937,Ha
Rice Production,Agriculture,Production,Rice,Phnom Penh,2021.0,MAFF,11.343424,104.545573,12.0,Area Planted,6859,Ha
Rice Production,Agriculture,Production,Rice,Prey Veng,2021.0,MAFF,11.285718,105.192062,14.0,Area Planted,408456,Ha
Rice Production,Agriculture,Production,Rice,Svay Rieng,2021.0,MAFF,11.045571,105.481724,20.0,Area Planted,193903,Ha
Rice Production,Agriculture,Production,Rice,Takeo,2021.0,MAFF,10.592675,104.470102,21.0,Area Planted,320953,Ha
Rice Production,Agriculture,Production,Rice,Tboung Khmum,2021.0,MAFF,11.535148,105.465966,25.0,Area Planted,89440,Ha
Rice Production,Agriculture,Production,Rice,Banteay Meanchey,2021.0,MAFF,13.352042,102.580516,1.0,Area Planted,315416,Ha
Rice Production,Agriculture,Production,Rice,Battambang,2021.0,MAFF,13.052422,103.115569,2.0,Area Planted,440984,Ha
Rice Production,Agriculture,Production,Rice,Kampong Chhnang,2021.0,MAFF,12.150884,104.395771,4.0,Area Planted,181352,Ha
Rice Production,Agriculture,Production,Rice,Kampong Thom,2021.0,MAFF,12.424516,104.525584,6.0,Area Planted,306725,Ha
Rice Production,Agriculture,Production,Rice,Pursat,2021.0,MAFF,12.325198,103.300548,15.0,Area Planted,178719,Ha
Rice Production,Agriculture,Production,Rice,Siemreap,2021.0,MAFF,13.225198,103.524891,17.0,Area Planted,213340,Ha
Rice Production,Agriculture,Production,Rice,Oddar Meanchey,2021.0,MAFF,14.112478,103.304147,22.0,Area Planted,97360,Ha
Rice Production,Agriculture,Production,Rice,Pailin,2021.0,MAFF,12.512244,102.363501,24.0,Area Planted,7770,Ha
Rice Production,Agriculture,Production,Rice,Kampot,2021.0,MAFF,10.361022,104.105131,7.0,Area Planted,161705,Ha
Rice Production,Agriculture,Production,Rice,Koh Kong,2021.0,MAFF,11.37035,102.584901,9.0,Area Planted,9827,Ha
Rice Production,Agriculture,Production,Rice,Preah Sihanouk,2021.0,MAFF,10.380311,103.300548,18.0,Area Planted,11174,Ha
Rice Production,Agriculture,Production,Rice,Kep,2021.0,MAFF,10.284217,104.181075,23.0,Area Planted,3589,Ha
Rice Production,Agriculture,Production,Rice,Kampong Speu,2021.0,MAFF,11.272917,104.311385,5.0,Area Planted,123222,Ha
Rice Production,Agriculture,Production,Rice,Kratie,2021.0,MAFF,12.284795,106.010996,10.0,Area Planted,54610,Ha
Rice Production,Agriculture,Production,Rice,Mondul Kiri,2021.0,MAFF,12.275092,107.104308,11.0,Area Planted,28106,Ha
Rice Production,Agriculture,Production,Rice,Preah Vihear,2021.0,MAFF,13.484428,104.583579,13.0,Area Planted,98068,Ha
Rice Production,Agriculture,Production,Rice,Ratanak Kiri,2021.0,MAFF,13.443648,106.590872,16.0,Area Planted,30844,Ha
Rice Production,Agriculture,Production,Rice,Stung Treng,2021.0,MAFF,13.312245,105.580995,19.0,Area Planted,27388,Ha
Rice Production,Agriculture,Production,Rice,Kampong Cham,2022.0,MAFF,11.594763,105.272988,3.0,Area Planted,147422,Ha
Rice Production,Agriculture,Production,Rice,Kandal,2022.0,MAFF,11.292682,104.563756,8.0,Area Planted,87561,Ha
Rice Production,Agriculture,Production,Rice,Phnom Penh,2022.0,MAFF,11.343424,104.545573,12.0,Area Planted,6128,Ha
Rice Production,Agriculture,Production,Rice,Prey Veng,2022.0,MAFF,11.285718,105.192062,14.0,Area Planted,395401,Ha
Rice Production,Agriculture,Production,Rice,Svay Rieng,2022.0,MAFF,11.045571,105.481724,20.0,Area Planted,185746,Ha
Rice Production,Agriculture,Production,Rice,Takeo,2022.0,MAFF,10.592675,104.470102,21.0,Area Planted,323185,Ha
Rice Production,Agriculture,Production,Rice,Tboung Khmum,2022.0,MAFF,11.535148,105.465966,25.0,Area Planted,88380,Ha
Rice Production,Agriculture,Production,Rice,Banteay Meanchey,2022.0,MAFF,13.352042,102.580516,1.0,Area Planted,305035,Ha
Rice Production,Agriculture,Production,Rice,Battambang,2022.0,MAFF,13.052422,103.115569,2.0,Area Planted,414761,Ha
Rice Production,Agriculture,Production,Rice,Kampong Chhnang,2022.0,MAFF,12.150884,104.395771,4.0,Area Planted,183766,Ha
Rice Production,Agriculture,Production,Rice,Kampong Thom,2022.0,MAFF,12.424516,104.525584,6.0,Area Planted,250971,Ha
Rice Production,Agriculture,Production,Rice,Pursat,2022.0,MAFF,12.325198,103.300548,15.0,Area Planted,174485,Ha
Rice Production,Agriculture,Production,Rice,Siemreap,2022.0,MAFF,13.225198,103.524891,17.0,Area Planted,205231,Ha
Rice Production,Agriculture,Production,Rice,Oddar Meanchey,2022.0,MAFF,14.112478,103.304147,22.0,Area Planted,95900,Ha
Rice Production,Agriculture,Production,Rice,Pailin,2022.0,MAFF,12.512244,102.363501,24.0,Area Planted,8000,Ha
Rice Production,Agriculture,Production,Rice,Kampot,2022.0,MAFF,10.361022,104.105131,7.0,Area Planted,145194,Ha
Rice Production,Agriculture,Production,Rice,Koh Kong,2022.0,MAFF,11.37035,102.584901,9.0,Area Planted,10185,Ha
Rice Production,Agriculture,Production,Rice,Preah Sihanouk,2022.0,MAFF,10.380311,103.300548,18.0,Area Planted,11271,Ha
Rice Production,Agriculture,Production,Rice,Kep,2022.0,MAFF,10.284217,104.181075,23.0,Area Planted,3603,Ha
Rice Production,Agriculture,Production,Rice,Kampong Speu,2022.0,MAFF,11.272917,104.311385,5.0,Area Planted,121408,Ha
Rice Production,Agriculture,Production,Rice,Kratie,2022.0,MAFF,12.284795,106.010996,10.0,Area Planted,54682,Ha
Rice Production,Agriculture,Production,Rice,Mondul Kiri,2022.0,MAFF,12.275092,107.104308,11.0,Area Planted,29364,Ha
Rice Production,Agriculture,Production,Rice,Preah Vihear,2022.0,MAFF,13.484428,104.583579,13.0,Area Planted,99128,Ha
Rice Production,Agriculture,Production,Rice,Ratanak Kiri,2022.0,MAFF,13.443648,106.590872,16.0,Area Planted,28556,Ha
Rice Production,Agriculture,Production,Rice,Stung Treng,2022.0,MAFF,13.312245,105.580995,19.0,Area Planted,27801,Ha
Rice Production,Agriculture,Production,Rice,Kampong Cham,2023.0,MAFF,11.594763,105.272988,3.0,Area Planted,151827,Ha
Rice Production,Agriculture,Production,Rice,Kandal,2023.0,MAFF,11.292682,104.563756,8.0,Area Planted,92696,Ha
Rice Production,Agriculture,Production,Rice,Phnom Penh,2023.0,MAFF,11.343424,104.545573,12.0,Area Planted,4462,Ha
Rice Production,Agriculture,Production,Rice,Prey Veng,2023.0,MAFF,11.285718,105.192062,14.0,Area Planted,404413,Ha
Rice Production,Agriculture,Production,Rice,Svay Rieng,2023.0,MAFF,11.045571,105.481724,20.0,Area Planted,189629,Ha
Rice Production,Agriculture,Production,Rice,Takeo,2023.0,MAFF,10.592675,104.470102,21.0,Area Planted,318527,Ha
Rice Production,Agriculture,Production,Rice,Tboung Khmum,2023.0,MAFF,11.535148,105.465966,25.0,Area Planted,88555,Ha
Rice Production,Agriculture,Production,Rice,Banteay Meanchey,2023.0,MAFF,13.352042,102.580516,1.0,Area Planted,320499,Ha
Rice Production,Agriculture,Production,Rice,Battambang,2023.0,MAFF,13.052422,103.115569,2.0,Area Planted,459259,Ha
Rice Production,Agriculture,Production,Rice,Kampong Chhnang,2023.0,MAFF,12.150884,104.395771,4.0,Area Planted,188209,Ha
Rice Production,Agriculture,Production,Rice,Kampong Thom,2023.0,MAFF,12.424516,104.525584,6.0,Area Planted,282393,Ha
Rice Production,Agriculture,Production,Rice,Pursat,2023.0,MAFF,12.325198,103.300548,15.0,Area Planted,188426,Ha
Rice Production,Agriculture,Production,Rice,Siemreap,2023.0,MAFF,13.225198,103.524891,17.0,Area Planted,218394,Ha
Rice Production,Agriculture,Production,Rice,Oddar Meanchey,2023.0,MAFF,14.112478,103.304147,22.0,Area Planted,96770,Ha
Rice Production,Agriculture,Production,Rice,Pailin,2023.0,MAFF,12.512244,102.363501,24.0,Area Planted,9150,Ha
Rice Production,Agriculture,Production,Rice,Kampot,2023.0,MAFF,10.361022,104.105131,7.0,Area Planted,144821,Ha
Rice Production,Agriculture,Production,Rice,Koh Kong,2023.0,MAFF,11.37035,102.584901,9.0,Area Planted,10194,Ha
Rice Production,Agriculture,Production,Rice,Preah Sihanouk,2023.0,MAFF,10.380311,103.300548,18.0,Area Planted,12156,Ha
Rice Production,Agriculture,Production,Rice,Kep,2023.0,MAFF,10.284217,104.181075,23.0,Area Planted,3617,Ha
Rice Production,Agriculture,Production,Rice,Kampong Speu,2023.0,MAFF,11.272917,104.311385,5.0,Area Planted,121433,Ha
Rice Production,Agriculture,Production,Rice,Kratie,2023.0,MAFF,12.284795,106.010996,10.0,Area Planted,54728,Ha
Rice Production,Agriculture,Production,Rice,Mondul Kiri,2023.0,MAFF,12.275092,107.104308,11.0,Area Planted,32658,Ha
Rice Production,Agriculture,Production,Rice,Preah Vihear,2023.0,MAFF,13.484428,104.583579,13.0,Area Planted,100301,Ha
Rice Production,Agriculture,Production,Rice,Ratanak Kiri,2023.0,MAFF,13.443648,106.590872,16.0,Area Planted,28652,Ha
Rice Production,Agriculture,Production,Rice,Stung Treng,2023.0,MAFF,13.312245,105.580995,19.0,Area Planted,27584,Ha
